volumen;centroide_x;centroide_y;centroide_z;diametro_x;diametro_y;diametro_z;vim;mejoria
272,355667266003;14,8603 ;14,2992 ;16,4577 ;47,9068 ;29,8870 ;27,3641 ;0,5017 ;0,6559 
285,540523132915;18,6401 ;16,8008 ;19,1444 ;32,3447 ;22,0172 ;24,0342 ;0,4966 ;0,4522 
245,97183380372;11,4350 ;11,7570 ;15,2598 ;36,8110 ;47,8800 ;43,4224 ;0,5966 ;0,3750 
236,233617588821;19,9922 ;12,7318 ;10,4543 ;28,5428 ;44,5491 ;40,4873 ;0,5962 ;0,4776 
278,525431546945;16,2569 ;19,5275 ;12,7122 ;49,3926 ;20,8450 ;44,3818 ;0,4102 ;0,7832 
210,471705303553;10,7904 ;13,8562 ;14,5011 ;40,4195 ;36,4391 ;34,7890 ;0,6317 ;0,3642 
248,855688573669;12,8634 ;14,8018 ;10,4005 ;35,6690 ;49,6504 ;44,1084 ;0,6199 ;0,6795 
299,177853961588;17,6927 ;11,9910 ;17,9097 ;43,6682 ;37,6305 ;22,5699 ;0,6317 ;0,4082 
286,202686743712;12,5273 ;19,7819 ;11,3324 ;39,9700 ;43,2163 ;49,9920 ;0,5196 ;0,5914 
296,605965599609;15,5453 ;13,3932 ;17,5919 ;32,2538 ;41,2041 ;29,0850 ;0,5814 ;0,7106 
275,101340551595;11,8413 ;17,8064 ;19,1425 ;41,9949 ;44,9116 ;24,2147 ;0,5054 ;0,4703 
297,833441780398;14,5936 ;19,3815 ;19,6333 ;33,4024 ;28,4095 ;38,6515 ;0,4740 ;0,7033 
227,419492051548;11,1830 ;15,2717 ;18,0323 ;24,4762 ;27,7037 ;36,3657 ;0,6774 ;0,3007 
288,721718384719;13,5149 ;14,5921 ;13,9943 ;40,1184 ;24,1712 ;46,8858 ;0,5318 ;0,5258 
278,624527449292;16,5780 ;10,6812 ;19,0830 ;33,1549 ;38,3127 ;23,9053 ;0,5693 ;0,7455 
230,079086619537;15,1738 ;15,4150 ;18,7926 ;38,5859 ;47,0110 ;48,1495 ;0,5124 ;0,7923 
235,179222967938;18,9606 ;16,4137 ;19,5106 ;44,7622 ;40,0505 ;46,7844 ;0,4575 ;0,6519 
275,111377158012;19,3119 ;16,9672 ;15,5124 ;37,4171 ;23,3902 ;41,2436 ;0,4217 ;0,6977 
268,830551679941;12,0274 ;15,3701 ;19,7011 ;44,0558 ;31,4061 ;34,4085 ;0,5169 ;0,4669 
266,273471551423;12,4735 ;18,7329 ;19,2895 ;47,6139 ;34,5008 ;48,1692 ;0,4321 ;0,3388 
274,710462733345;17,3302 ;16,3578 ;14,2933 ;47,2033 ;23,4117 ;35,2499 ;0,5343 ;0,7494 
284,659823505589;14,1878 ;10,0876 ;12,0761 ;45,5041 ;30,4953 ;46,3047 ;0,4143 ;0,7713 
274,062519850679;10,9775 ;18,8072 ;16,5032 ;23,5504 ;25,0553 ;44,5989 ;0,5071 ;0,6890 
264,753324321176;19,6235 ;11,3601 ;15,9926 ;48,6411 ;21,8725 ;29,1479 ;0,5253 ;0,7744 
205,021720541203;15,8187 ;15,0793 ;17,1675 ;44,5071 ;49,8984 ;21,9430 ;0,6869 ;0,7557 
